{'id':'1','asId':'x1001','statu':'闲置','ip':'192.168.0.121','cpu':'I6500U*2','ram':'16G*2','YP':'2T*2','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'2','asId':'x1002','statu':'闲置','ip':'192.168.0.122','cpu':'I6500U*2','ram':'16G','YP':'2T','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'3','asId':'x1003','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'4','asId':'x1004','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'5','asId':'x1005','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'6','asId':'x1006','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'7','asId':'x1007','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'8','asId':'x1008','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'9','asId':'x1009','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'10','asId':'x1010','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'11','asId':'x1011','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'12','asId':'x1012','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'13','asId':'x1013','statu':'闲置','ip':'192.168.0.123','cpu':'I6500U*2','ram':'16G*4','YP':'1T*3','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'14','asId':'x1014','statu':'1001','ip':'192.168.0.124','cpu':'I6500U*2','ram':'8G*4','YP':'2T','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'15','asId':'x1015','statu':'报废','ip':'192.168.0.125','cpu':'I6500U*2','ram':'16G','YP':'2T','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
{'id':'16','asId':'x1016','statu':'报废','ip':'192.168.0.125','cpu':'I6500U*2','ram':'16G','YP':'2T','TYPE':'租用主机','remark':'游讯','bgtime':'2016-11-11','edtime':'2016-12-12'}
